medicine,before-taking,directions,fda-approval,patient-counseling,pregnancy,storage
winlevi,"
Before using Winlevi cream, tell your healthcare provider about all of your medical conditions, including if you:

have skin problems, including eczema, cuts or sunburn
are pregnant or plan to become pregnant. It is not known if Winlevi cream will harm your unborn baby.
are breastfeeding or plan to breastfeed. It is not known if Winlevi cream passes into your breast milk. Talk to your healthcare provider about the best way to feed your baby during treatment with Winlevi cream.


Tell your healthcare provider about the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.

","
Use Winlevi cream exactly as your healthcare provider tells you to use it.
Before applying the cream, gently wash and dry the affected skin area.
After the skin is dry, apply a thin even layer of Winlevi cream to the affected areas 2 times each day, in the morning and the evening.
Wash your hands after applying the cream.

",,,,
winrho-sdf,,,,,,
witch-hazel-topical,,"When considering the use of an alternative medicine, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of natural medicines.
If you choose to use witch hazel topical, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Do not take by mouth. Topical medicine is for use only on the skin. Witch hazel may cause stomach upset or liver problems when taken by mouth.
Witch hazel topical is available in different forms, such as liquid, gel, soap, or topical pad.
Call your doctor if the condition you are treating with witch hazel topical does not improve, or if it gets worse while using this product.
Store witch hazel topical as directed on the label.
",,,,
wycillin,,,,,,
wynzora,,,,,,
xadago,,,,,,
xalatan,,,,,,
xalkori,,,,,,
xanax,,,,,,
xanax_xr,,,,,,
xarelto,,,,,,
xcopri,"Before you start treatment, tell your healthcare provider about all your medical conditions, including if you:

have or had depression, mood problems, or suicidal thoughts or actions.
have liver, kidney, or blood problems.
have had an allergic reaction to a medicine which caused a rash or affected internal organs, like the liver or blood cells.
use birth control medicine. Xcopri may cause your birth control medicine to be less effective. Talk to your healthcare provider about the best birth control method to use while taking Xcopri.
are pregnant or plan to become pregnant. It is not known if this medicine will harm your unborn baby. Tell your healthcare provider right away if you become pregnant during treatment. You and your healthcare provider will decide if you should take Xcopri while you are pregnant.

If you become pregnant while taking Xcopri, talk to your healthcare provider about registering with the North American Antiepileptic Drug (NAAED) Pregnancy Registry. The purpose of this registry is to collect information about the safety of antiepileptic medicine during pregnancy. You can enroll in this registry by calling 1-888-233-2334 or go to www.aedpregnancyregistry.org


are breastfeeding or plan to breastfeed. It is not known if this medicine passes into breastmilk. Talk to your healthcare provider about the best way to feed your baby while taking Xcopri.

Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.
Xcopri may affect the way other medicines work, and other medicines may affect how Xcopri works. Do not start a new medicine without first talking with your healthcare provider.
Ask your healthcare provider or pharmacist for a list of medicines you are taking, if you are not sure. Know the medicines you take. Keep a list of them and show it to your healthcare provider and pharmacist when you get a new medicine.
",,,,,
xeljanz,,,,,,
xeljanz-xr,,,,,,
xeloda,,,,,,
xenical,,,,,,
xeomin,,,,,,
xerese,,"Apply Xerese cream exactly as prescribed by your doctor. Follow all directions on your prescription label and read all medication guides or instruction sheets.
Start using this medicine as soon as possible after the first appearance of symptoms (such as tingling, burning, itching, or redness). Xerese may not be effective if taken after you already have symptoms.
Wash your hands before and after applying the medicine. Also wash the skin area to be treated.
Apply a thin layer of Xerese cream to cover the cold sore or tingly area. Do not rub the cold sore, to avoid making it worse or spreading the virus to other areas of your mouth.
Do not cover the treated skin with a bandage. Do not apply sunscreen, lip balm, or cosmetics to the treated cold sore area.
Xerese cream is usually applied 5 times per day for 5 days in a row. Follow your doctor's dosing instructions very carefully.
Use this medicine for the full prescribed length of time, even if your symptoms quickly improve.
Call your doctor if your symptoms do not improve after 2 weeks.
Store at room temperature away from moisture and heat. Do not freeze.
",,,,
xermelo,,,,,,
xgeva,,,,,,
xiaflex,,"Xiaflex is injected directly into the ""cord"" of the affected hand or into a ""plaque"" of the penis. A healthcare provider will give you this injection. Follow your doctor's dosing instructions very carefully.
For Dupuytren's contracture:


Xiaflex is usually given in a treatment cycle of 1 to 3 injections given 4 weeks apart.


After your injection, do not touch or put pressure on the treated area of the hand for the rest of the day. Keep the treated hand elevated until bedtime.


You may need to wear a splint on your hand for a short time to keep your fingers straight, especially at night. You may also need to perform daily finger exercises. Follow your doctor's instructions.


One to 3 days after injection into your hand, your doctor will need to examine the hand to see if your condition has improved.


If you still have the cord, your doctor may try to break it by extending your treated finger.


Call your doctor if you have trouble bending the treated finger after the swelling goes down.
For Peyronie's disease:


Xiaflex is usually given in a treatment cycle of 2 injections given 1 to 3 days apart.


Your penis may need to be wrapped in a bandage for a short time after each injection. Follow your doctor's instructions about how long to wear the bandage.


One to 3 days after your second injection, your doctor will perform a stretching procedure to help straighten the curve in your penis.


You may also need to perform gentle exercises to stretch and straighten the penis at home every day for 6 weeks. Carefully follow all directions about how to perform these exercises.


You should not have any sexual activity for at least 2 weeks after your second injection if the first injection caused any pain or swelling in your penis.


",,,,
xifaxan,,,,,,
xigduo-xr,,,,,,
xiidra,,,,,,
xofigo,,,"The U.S. Food and Drug Administration (FDA) has approved Xofigo (radium 223 dichloride) for the treatment of patients with castration-resistant prostate cancer (CRPC), symptomatic bone metastases and no known visceral metastatic disease. Xofigo is the first alpha particle-emitting radioactive therapeutic agent approved by the FDA that has demonstrated improvement in overall survival (OS) and delay in time to first symptomatic skeletal event (SSE) compared to placebo, as shown in the pivotal Phase III ALSYMPCA trial.
","Advise patients:

To be compliant with blood cell count monitoring appointments while receiving Xofigo. Explain the importance of routine blood cell counts. Instruct patients to report signs of bleeding or infections.
To stay well hydrated and to monitor oral intake, fluid status, and urine output while being treated with Xofigo. Instruct patients to report signs of dehydration, hypovolemia, urinary retention, or renal failure / insufficiency.
There are no restrictions regarding contact with other people after receiving Xofigo. Follow good hygiene practices while receiving Xofigo and for at least 1 week after the last injection in order to minimize radiation exposure from bodily fluids to household members and caregivers. Whenever possible, patients should use a toilet and the toilet should be flushed several times after each use. Clothing soiled with patient fecal matter or urine should be washed promptly and separately from other clothing. Caregivers should use universal precautions for patient care such as gloves and barrier gowns when handling bodily fluids to avoid contamination. When handling bodily fluids, wearing gloves and hand washing will protect caregivers.
Who are sexually active to use condoms and their female partners of reproductive potential to use a highly effective method of birth control during treatment and for 6 months following completion of Xofigo treatment.

",,
xofluza,,,,,,
xolair,,,,,,
xopenex,,,,,,
xopenex-hfa,,,,,,
xtampza-er,"Before taking Xtampza ER, tell your healthcare provider if you have a history of:

head injury, seizures
problems urinating
liver, kidney, thyroid problems
pancreas or gallbladder problems
abuse of street or prescription drugs, alcohol addiction, or mental health problems.

Tell your healthcare provider if you are:

pregnant or planning to become pregnant. Prolonged use of Xtampza ER during pregnancy can cause withdrawal symptoms in your newborn baby that could be life-threatening if not recognized and treated.
breastfeeding. Not recommended during treatment. It may harm your baby.
taking prescription or over-the-counter medicines, vitamins, or herbal supplements. Taking Xtampza ER with certain other medicines can cause serious side effects that could lead to death.

",,,,,
xtandi,,,,,,
xulane-transdermal,,,,,,
xultophy,,,,,,
xylocaine-mpf,,,,,,
xylometazoline-nasal,,,,,,
xyosted,,,,,,
xyrem,,,,,,
xywav,,,,,,
xyzal,,,,,,
yasmin,,,,,,
yaz,,,,,,
yellow-fever-vaccine,,,,,,
yervoy,,,,,,
yescarta,,,,,,
yondelis,,,,,,
yonsa,,,,,,
yosprala,,,,,,
yupelri,,,,,,
zaditor,,,,,,
zafirlukast,,,,,,
zaleplon,,,,,,
zanaflex,,,,,,
zantac,,,,,,
zenpep,,,,,,
zeposia,"Before taking Zeposia, tell your healthcare provider about all of your medical conditions, including if you:

have a fever or infection, or you are unable to fight infections due to a disease or take or have taken medicines that lower your immune system.
received a vaccine in the past 30 days or are scheduled to receive a vaccine. Zeposia may cause vaccines to be less effective.
Before you start treatment with Zeposia, your healthcare provider may give you a chicken pox (Varicella Zoster Virus) vaccine if you have not had one before.
have had chickenpox or have received the vaccine for chickenpox. Your healthcare provider may do a blood test for the chickenpox virus. You may need to get the full course of the vaccine for chickenpox and then wait 1 month before you start taking Zeposia.
have a slow heart rate.
have an irregular or abnormal heartbeat (arrhythmia).
have a history of a stroke.
have heart problems, including a heart attack or chest pain.
have high blood pressure.
have liver problems.
have breathing problems, including during your sleep.
have eye problems, especially an inflammation of the eye called uveitis.
have diabetes.
are pregnant or plan to become pregnant. Zeposia may harm your unborn baby. Talk with your healthcare provider if you are pregnant or plan to become pregnant. If you are a female who can become pregnant, you should use effective birth control during your treatment with Zeposia and for 3 months after you stop taking Zeposia. Talk with your healthcare provider about what birth control method is right for you during this time.
Tell your healthcare provider right away if you become pregnant while taking Zeposia or if you become pregnant within 3 months after you stop taking Zeposia.
are breastfeeding or plan to breastfeed. It is not known if Zeposia passes into your breast milk. Talk to your healthcare provider about the best way to feed your baby if you take Zeposia.

Tell your healthcare provider about all the medicines you take or have recently taken, including prescription and over-the-counter medicines, vitamins, and herbal supplements. Using Zeposia with other medicines can cause serious side effects. Especially tell your healthcare provider if you take or have taken:

medicines that affect your immune system, such as alemtuzumab
medicines to control your heart rhythm (antiarrhythmics), or heart beat
CYP2C8 inducers such as rifampin
CYP2C8 inhibitors such as gemfibrozil
opioids (pain medicine)
medicines to treat depression
medicines to treat Parkinson’s disease
medicines to control your heart rate and blood pressure (beta blocker medicines and calcium channel blocker medicines)

You should not receive live vaccines during treatment with Zeposia, for at least 1 month before starting treatment, and for 3 months after you stop treatment. Vaccines may not work as well when given during treatment with Zeposia.

Talk with your healthcare provider if you are not sure if you take any of these medicines.
Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.
",,,,,
zestoretic,,,,,,
zestril,,,,,,
zetia,,,,,,
ziac,,,,,,
zinc,,,,,,
zinc-gluconate,,,,,,
zinc-sulfate,,,,,,
ziprasidone,,,,,,
zithromax,,,,,,
zocor,,,,,,
zofran,,,,,,
zofran-odt,,,,,,
zoladex,,,,,,
zoledronic-acid,,,,,,
zolmitriptan,,,,,,
zoloft,,,,,,
zolpidem,,,,,,
zometa,,,,,,
zomig,,,,,,
zonegran,,,,,,
zonisamide,,,,,,
zostavax,,,,,,
zosyn,,,,,,
zovirax,,,,,,
zyban,,,,,,
zydelig,,,,,,
zykadia,,,,,,
zyprexa,,,,,,
zyrtec,,,,,,
zytiga,,,,,,
zyvox,"You should not use Zyvox if you are allergic to linezolid.
Do not use linezolid if you have used an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, methylene blue injection, phenelzine, tranylcypromine, and others.
Tell your doctor if you also take stimulant medicine, opioid medicine, herbal products, or medicine for depression, mental illness, Parkinson's disease, migraine headaches, serious infections, or prevention of nausea and vomiting. An interaction with linezolid could cause a serious condition called serotonin syndrome.
To make sure Zyvox is safe for you, tell your doctor if you have ever had:


high blood pressure;


a thyroid disorder;


a carcinoid tumor;


bone marrow suppression or a weak immune system;


kidney or liver disease;


pheochromocytoma (adrenal gland tumor);


diabetes;


seizures; or


if you use a catheter.


Tell your doctor if you are pregnant or breastfeeding.
If you are breastfeeding, tell your doctor if you notice diarrhea or vomiting in the nursing baby.
Zyvox liquid (oral suspension) contains phenylalanine and could be harmful if you have phenylketonuria (PKU).
",,,,,
