,Uses,Warnings,Dosage,What to avoid,Side effects,Interactions
oxycontin,OxyContin is not to be used on an as-needed basis for pain that is not around-the-clock.,"Fatal side effects can occur if you use OxyContin with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Do not keep leftover opioid medication. Just one dose can cause death in someone using this medicine accidentally or improperly. Ask your pharmacist where to locate a drug take-back disposal program. If there is no take-back program, flush the unused medicine down the toilet.",Avoid medication errors. Always check the brand and strength of oxycodone you get from the pharmacy.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may interact with oxycodone. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
ozanimod,It is not known if Ozanimod is safe and effective in children.,"You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, chills, aches, tiredness, cough, rash, painful and frequent urination, confusion, neck stiffness, or increased sensitivity to light. Your risk of infection could last for 3 months after you stop taking this medicine.","DOSE TITRATION REGIMEN:
-Days 1 through 4: 0.23 mg orally once a day
-Days 5 through 7: 0.46 mg orally once daily
-Day 8 and thereafter: 0.92 mg orally once a day
MAINTENANCE DOSE: 0.92 mg orally once daily starting on Day 8

Use: For the treatment of relapsing forms of multiple sclerosis (MS), including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease","You should not receive a live vaccine within 1 month before taking ozanimod, while taking it, and for at least 3 months after you stop taking it.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Ozanimod can have long lasting effects on your body, especially on your immune system. For 3 or 4 weeks after your last dose, tell any doctor who treats you that you have used this medicine."
ozempic,This medicine is not for treating type 1 diabetes.,"Call your doctor at once if you have signs of a thyroid tumor, such as swelling or a lump in your neck, trouble swallowing, a hoarse voice, or shortness of breath.","Switching between Subcutaneous Administration and Oral Tablets:
-Patients receiving 14 mg orally once a day can be transitioned to 0.5 mg subcutaneously once a week; subcutaneous administration should start after last oral dose
-Patients receiving 0.5 mg subcutaneously once a week can be transitioned to 7 or 14 mg orally once a day; oral therapy should start up to 7 days after last subcutaneous injection
-No equivalent oral dose is recommended to replace a subcutaneous dose of 1 mg weekly

-Doses of 0.25 mg subcutaneously once a week and 3 mg orally once a day are intended for treatment initiation and are not effective doses for glycemic control.
-This drug has not been studied in patients with a history of pancreatitis; other antidiabetic therapies should be considered in these patients.

Uses:
-As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus
-To reduce the risk of major adverse cardiovascular events (cardiovascular death, non-fatal myocardial infarction or non-fatal stroke) in adults with type 2 diabetes mellitus and established cardiovascular disease","Never share an injection pen, even if you changed the needle. Sharing this device can pass infection or disease from person to person.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with semaglutide, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
pantoprazole,Pantoprazole is also used to treat Zollinger-Ellison syndrome and other conditions involving excess stomach acid.,You may be more likely to have a broken bone while taking this medicine long term or more than once per day.,"Study (n=21) - Stress Ulcer bleeding prophylaxis in the Critical Care Setting:
80 mg twice daily, as a bolus infusion over a period of 15 minutes, to a maximum daily dose of 240 mg, divided into three equal doses.

Study (n=20 ) - Peptic Ulcer rebleeding prophylaxis after hemostasis in the Critical Care Setting:
80 mg IV bolus, followed by continuous infusion of 8 mg/hr for 3 days, after which therapy may be continued with an oral PPI.","This medicine can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor. Do not use anti-diarrhea medicine unless your doctor tells you to.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may affect pantoprazole, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
paracetamol,Paracetamol may also be used for other purposes not listed in this medication guide.,"Do not use any other over-the-counter cough, cold, allergy, or pain medication without first asking your doctor or pharmacist. Paracetamol is contained in many combination medicines. If you use certain products together you may accidentally use too much paracetamol . Read the label of any other medicine you are using to see if it contains paracetamol, acetaminophen or APAP. Avoid drinking alcohol while taking this medication. Alcohol may increase your risk of liver damage while taking paracetamol .","Do not use any other over-the-counter cough, cold, allergy, or pain medication without first asking your doctor or pharmacist. Paracetamol is contained in many combination medicines. If you use certain products together you may accidentally use too much paracetamol . Read the label of any other medicine you are using to see if it contains paracetamol, acetaminophen or APAP. Avoid drinking alcohol while taking this medication. Alcohol may increase your risk of liver damage while taking paracetamol .",This is not a complete list of paracetamol side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Oral or Rectal:

<=1 month: 10 to 15 mg/kg/dose every 6 to 8 hours as needed.

>1 month to 12 years: 10 to 15 mg/kg/dose every 4 to 6 hours as needed (Maximum: 5 doses in 24 hours)

Fever: 4 months to 9 years: Initial Dose: 30 mg/kg (Reported by one study (n=121) to be more effective in reducing fever than a 15 mg/kg maintenance dose with no difference regarding clinical tolerance.)

>=12 years: 325 to 650 mg every 4 to 6 hours or 1000 mg every 6 to 8 hours.","There may be other drugs that can interact with paracetamol . Tell your doctor about all your prescription and over-the-counter medications, vitamins, minerals, herbal products, and drugs prescribed by other doctors. Do not start a new medication without telling your doctor."
paragard,Your healthcare provider can remove Paragard at any time before the 10 years after placement. You may become pregnant as soon as Paragard is removed.,"This is not a complete list of possible side effects with Paragard. For more information, ask your healthcare provider. Tell your healthcare provider about any side effect that bothers you or does not go away.
Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800­ FDA-1088.",,,,
paroxetine,The Brisdelle brand of paroxetine is used to treat hot flashes related to menopause. Brisdelle is not for treating any other conditions.,"Seek medical attention right away if you have symptoms such as: agitation, hallucinations, muscle stiffness, twitching, loss of coordination, dizziness, warmth or tingly feeling, nausea, vomiting, diarrhea, fever, sweating, tremors, racing heartbeats, or a seizure (convulsions).","Store at room temperature away from moisture, heat, and light.",Drinking alcohol with this medicine can cause side effects.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with paroxetine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
paxil,"Paxil is also used to treat panic disorder, obsessive-compulsive disorder (OCD), anxiety disorders, post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD).","Seek medical attention right away if you have symptoms such as: agitation, hallucinations, muscle stiffness, twitching, loss of coordination, dizziness, warmth or tingly feeling, nausea, vomiting, diarrhea, fever, sweating, tremors, racing heartbeats, or a seizure (convulsions).","Store at room temperature away from moisture, heat, and light.",Drinking alcohol with this medicine can cause side effects.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with paroxetine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
penicillin,Penicillin V may also be used for other purposes not listed in this medication guide.,"Antibiotic medicines can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or has blood in it, call your doctor. Do not use any medicine to stop the diarrhea unless your doctor has told you to.","Store penicillin V tablets at room temperature away from moisture, heat, and light. Store liquid penicillin V in a refrigerator but do not allow it to freeze. Throw away any liquid that has not been used within 14 days after it was mixed at the pharmacy.","Antibiotic medicines can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or has blood in it, call your doctor. Do not use any medicine to stop the diarrhea unless your doctor has told you to.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and there may be other drugs that can interact with penicillin V. Tell your doctor about all the prescription and over-the-counter medications you use. This includes vitamins, minerals, herbal products, and drugs prescribed by other doctors. Do not start using a new medication without telling your doctor."
pepcid,"Pepcid also treats gastroesophageal reflux disease (GERD) and other conditions in which acid backs up from the stomach into the esophagus, causing heartburn.","You should not use Pepcid if you are allergic to famotidine or similar medicines such as ranitidine (Zantac), cimetidine (Tagamet), or nizatidine (Axid).",Throw away any unused liquid that is older than 30 days.,"Avoid taking other stomach acid reducers unless your doctor has told you to. However, you may take an antacid (such as Maalox, Mylanta, Gaviscon, Milk of Magnesia, Rolaids, or Tums) with famotidine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with famotidine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
percocet,"Due of the risks of addiction, abuse, and misuse, even at recommended doses, Percocet is only prescribed when treatment with non-opioid pain relieving medication has not been tolerated or has not provided adequate pain relief.","You should not use Percocet if you have severe asthma or breathing problems, or a blockage in your stomach or intestines.","Do not keep leftover opioid medication. Just one dose can cause death in someone using this medicine accidentally or improperly. Ask your pharmacist where to locate a drug take-back disposal program. If there is no take-back program, flush the unused medicine down the toilet.",Ask a doctor or pharmacist before using any other medicine that may contain acetaminophen (sometimes abbreviated as APAP). Taking certain medications together can lead to a fatal overdose.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may affect Percocet, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
phenergan,"Phenergan is not for use in treating symptoms of asthma, pneumonia, or other lower respiratory tract infections.","Phenergan can cause side effects that may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be awake and alert. Avoid drinking alcohol, which can increase some of the side effects of Phenergan. There are many other medicines that can interact with promethazine. Tell your doctor about all the prescription and over-the-counter medications you use. This includes vitamins, minerals, herbal products, and drugs prescribed by other doctors. Do not start using a new medication without telling your doctor. Keep a list with you of all the medicines you use and show this list to any doctor or other healthcare provider who treats you.","Store Phenergan at room temperature away from moisture, heat, and light.",Avoid exposure to sunlight or tanning beds. Phenergan can make you sunburn more easily. Wear protective clothing and use sunscreen (SPF 30 or higher) when you are outdoors.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and there are many other medicines that can interact with Phenergan. Tell your doctor about all your prescription and over-the-counter medications, vitamins, minerals, herbal products, and drugs prescribed by other doctors. Do not start a new medication without telling your doctor. Keep a list with you of all the medicines you use and show this list to any doctor or other healthcare provider who treats you."
phentermine,Phentermine may also be used for purposes not listed in this medication guide.,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. A dangerous drug interaction could occur.","Age 17 Years and Older:
8 mg orally 3 times a day 30 minutes before meals, OR
15 to 37.5 mg orally once a day before breakfast or 1 to 2 hours after breakfast.

Use: Short-term (a few weeks) adjunct in a regimen of weight reduction based on exercise, behavioral modification, and caloric restriction in the management of exogenous obesity in patients with an initial body mass index (BMI) of 30 kg/m2 or greater, or BMI of 27 kg/m2 or greater in the presence of other risk factors (e.g., controlled hypertension, diabetes, hyperlipidemia).",Drinking alcohol with this medicine can cause side effects.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with phentermine. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
phenytoin,"Phenytoin is used to control seizures. It does not treat all types of seizures, and your doctor will determine if it is the right medicine for you.","Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, depression, anxiety, or if you feel agitated, hostile, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself.","Greater than 1 year:
Loading Dose: 1.25 mg/kg IV every 5 minutes. May repeat up to a loading dose of 15 mg/kg.
Maintenance Dose: 5 to 10 mg/kg/day orally or IV in 2 to 3 divided doses",Avoid taking antacids at the same time you take phenytoin. Antacids can make it harder for your body to absorb the medication.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with phenytoin. Not all possible interactions are listed here. TELL YOUR DOCTOR ABOUT ALL OTHER MEDICINES YOU USE, and any you start or stop using during treatment. This includes prescription and over-the-counter medicines, vitamins, and herbal products."
phexxi,"
Phexxi is a prescription medicine used to prevent pregnancy in females who can become pregnant and choose to use an on-demand method of birth control.
Phexxi is not effective at preventing pregnancy when used after vaginal sex.
Phexxi is thought to work by making the vagina more acidic to reduce sperm motility.
","Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements.

Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist when you get a new medicine.","
See the Instructions for Use that comes with Phexxi for detailed instructions on the right way to use Phexxi.
Use Phexxi exactly as your healthcare provider tells you to use it.
Phexxi must be used before vaginal sex.
Phexxi comes as a pre-filled single-dose vaginal applicator.
Insert 1 Phexxi pre-filled applicator into your vagina and use Phexxi within 1 hour before each time you have vaginal sex. If you do not have vaginal sex within 1 hour of using Phexxi, you must insert a new Phexxi pre-filled applicator.
If you have vaginal sex more than 1 time within 1 hour, you must use a new Phexxi pre-filled applicator.
Phexxi may be used at any time during the menstrual cycle.
Phexxi may be used as soon as your healthcare provider tells you it is safe for you to have vaginal sex after childbirth, abortion, or miscarriage.
Phexxi may be used with hormonal contraceptives; and latex, polyurethane and polyisoprene condoms. Phexxi may be used with a vaginal diaphragm. Avoid using Phexxi with contraceptive vaginal rings.
Phexxi may be used with other medicines used in the vagina to treat infections including miconazole, metronidazole and tioconazole.
",These are not all the possible side effects. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,,
plaquenil,Plaquenil is also used to treat symptoms of rheumatoid arthritis and discoid or systemic lupus erythematosus.,"Stop taking Plaquenil and call your doctor at once if you have blurred vision, trouble focusing, distorted vision, blind spots, trouble reading, changes in your color vision, increased sensitivity to light.","First dose: 13 mg/kg salt (10 mg/kg base) orally
Second dose (6 hours after first dose): 6.5 mg/kg salt (5 mg/kg base) orally
Third dose (24 hours after first dose): 6.5 mg/kg salt (5 mg/kg base) orally
Fourth dose (48 hours after first dose): 6.5 mg/kg salt (5 mg/kg base) orally

Maximum Dose:
-First dose: 800 mg salt (620 mg base)/dose
-Second, third, and fourth dose: 400 mg salt (310 mg base)/dose

Comments:
-Concomitant therapy with an 8-aminoquinoline compound is necessary for radical cure of P vivax and P ovale infections.

Use: For the treatment of uncomplicated malaria due to P falciparum, P malariae, P ovale, and P vivax

US CDC Recommendations: 10 mg/kg base orally at once, followed by 5 mg/kg base orally at 6, 24, and 48 hours
Total dose: 25 mg/kg base

Comments:
-Pediatric dose should never exceed adult dose.
-Recommended for uncomplicated malaria (P falciparum or species not identified) in regions with chloroquine sensitivity
-Recommended for uncomplicated malaria (P malariae, P knowlesi, P vivax [unless chloroquine-resistant P vivax suspected], or P ovale) in all regions; if treating P vivax or P ovale infections, concomitant treatment with primaquine (after quantitative testing to rule out G6PD deficiency) is recommended.
-Current guidelines should be consulted for additional information.",Avoid taking an antacid or Kaopectate (kaolin-pectin) within 4 hours before or 4 hours after you take Plaquenil.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. other drugs may interact with hydroxychloroquine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
plavix,Plavix may also be used for purposes not listed in this medication guide.,"If you need surgery or dental work, tell the surgeon or dentist ahead of time that you take Plavix.","75 mg orally once a day

Uses: Prevention of atherothrombotic events in patients with a history of recent myocardial infarction, recent stroke, or established peripheral arterial disease.","If you also take aspirin: Ask a doctor or pharmacist before using medicines for pain, fever, swelling, or cold/flu symptoms. They may contain ingredients similar to aspirin (such as salicylates, ibuprofen, ketoprofen, or naproxen). Taking these products together can increase your risk of bleeding.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with clopidogrel, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
potassium_chloride,"Potassium levels can be low as a result of a disease or from taking certain medicines, or after a prolonged illness with diarrhea or vomiting.","Do not crush, chew, break, or suck on an extended-release tablet or capsule. Swallow the pill whole. Breaking or crushing the pill may cause too much of the drug to be released at one time. Sucking on a tablet can irritate your mouth or throat. Take potassium chloride with food or just after a meal.",Store at room temperature away from moisture and heat. Keep the medication in a closed container.,Avoid taking supplements or using other products that contain potassium without first asking your doctor. Salt substitutes or low-salt dietary products often contain potassium. If you take certain products together you may accidentally get too much potassium. Read the label of any other medicine you are using to see if it contains potassium.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with potassium chloride, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
pradaxa,"Pradaxa is also used to treat DVT or pulmonary embolism (PE), and to lower your risk of having a repeat DVT or PE.",Do not stop taking Pradaxa without first talking to your doctor. Stopping suddenly can increase your risk of blood clot or stroke.,Throw away any unused capsules if it has been longer than 4 months since you first opened the bottle. Capsules stored in a blister pack should be thrown away after the expiration date on the label has passed.,Avoid alcohol. Heavy drinking can increase your risk of stomach bleeding.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with dabigatran, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
praluent,"Praluent is used together with a low-fat diet, alone or together with other cholesterol-lowering medicines in adults with high blood cholesterol levels called primary hyperlipidemia (including a type of high cholesterol called heterozygous familial hypercholesterolemia), an inherited type of high cholesterol. This condition can cause high blood levels of LDL cholesterol, and can also cause plaque to build up inside your arteries.

Praluent is also used along with other LDL-lowering treatments in adults with a type of high cholesterol called homozygous familial hypercholesterolemia, who need additional lowering of LDL-C.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","150 mg subcutaneously once every 2 weeks

Comments:
-Assess LDL-C when clinically appropriate, the LDL-C lowering effect may be measured as early as 4 weeks after initiating therapy.

Uses:
-As an adjunct to other lipid-lowering therapies in patients with homozygous familial hypercholesterolemia (HoFH), to reduce low density lipoprotein cholesterol (LDL-C).","Do not inject Praluent into skin that is sunburned, infected, swollen, or otherwise irritated.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with alirocumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
pravastatin,Pravastatin is used in adults and children who are at least 8 years old.,Avoid drinking alcohol. It can raise triglyceride levels and may increase your risk of liver damage.,"Store at room temperature away from moisture, heat, and light. Keep the bottle tightly closed when not in use.",Grapefruit may interact with pravastatin and lead to unwanted side effects. Avoid the use of grapefruit products.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with pravastatin, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
prednisone,"Prednisone is used as an anti-inflammatory or an immunosuppressant medication. Prednisone treats many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders.",You should not stop using prednisone suddenly. Follow your doctor's instructions about tapering your dose.,Store at room temperature away from moisture and heat.,Avoid drinking alcohol while you are taking prednisone.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs can interact with prednisone. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Give a list of all your medicines to any healthcare provider who treats you."
premarin,Have regular physical exams and self-examine your breasts for lumps on a monthly basis while using Premarin.,It may not be safe to breastfeed while using Premarin. Estrogen can slow breast milk production. Tell your doctor if your are breastfeeding.,"Store at room temperature away from moisture, heat, and light.",Grapefruit and grapefruit juice may interact with conjugated estrogens and lead to unwanted side effects. Avoid the use of grapefruit products.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with conjugated estrogens. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide. Tell your doctor about all your current medicines and any medicine you start or stop using."
prevacid,Prevacid is not for immediate relief of heartburn symptoms.,"If you also take sucralfate (Carafate), avoid taking it at the same time you take lansoprazole. Sucralfate can make it harder for your body to absorb lansoprazole. Wait at least 30 minutes after taking this medicine before you take sucralfate.","Store at room temperature away from moisture, heat, and light. Do not freeze the liquid medicine.","This medicine can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor before using anti-diarrhea medicine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with lansoprazole, and some drugs should not be used at the same time. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
prilosec,Over-the-counter Prilosec OTC is used in adults to help control heartburn that occurs 2 or more days per week. Prilosec OTC must be taken as a course for 14 days in a row.,Prilosec OTC (over-the-counter) should be taken for no longer than 14 days in a row. Allow at least 4 months to pass before you start another 14-day treatment.,Store at room temperature away from moisture and heat.,"This medicine can cause diarrhea, which may be a sign of a new infection. If you have diarrhea that is watery or bloody, call your doctor before using anti-diarrhea medicine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many Other drugs may interact with omeprazole. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
pristiq,Pristiq may also be used for purposes not listed in this medication guide.,Do not stop using this medicine without first talking to your doctor.,Store at room temperature away from moisture and heat.,Desvenlafaxine may impair your thinking or reactions. Avoid driving or hazardous activity until you know how this medicine will affect you.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may affect Pristiq. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
probuphine,Probuphine implants are available only from a certified pharmacy under a special program. You must be registered in the program and understand the risks and benefits of using this medicine. The implants are not for use as a pain medication.,"Talk with your doctor about the risks and benefits of using Probuphine. Read all patient information, medication guides, and instruction sheets provided to you.","For use in opioid-tolerant patients who meet ALL of the following criteria:
-Achieved and sustained prolonged clinical stability on transmucosal buprenorphine as evidenced by a stable dose for 3 months or longer without any need for supplemental dosing or dose adjustments.
-Currently receiving buprenorphine maintenance (with or without naloxone) at doses of 8 mg/day or less, or equivalent transmucosal product (e.g. Bunavail buprenorphine 4.2 mg/naloxone 0.7 mg per day or less; or Zubsolv buprenorphine 5.7 mg/naloxone 1.4 mg per day or less)
-Patients should not be tapered to a lower dose for the sole purpose of transitioning to the implant.

Insert 1 dose subdermally in the inner side of the upper arm
-Remove at the end of the sixth month

Comments:
-Probuphine implant insertions and removals should be performed by certified healthcare providers.
-Each dose consists of 4 implants; each implant contains 74.2 mg of buprenorphine
-After 1 insertion in each arm, most patients should be transitioned back to transmucosal products for continued treatment as there is no experience with inserting additional implants into other sites in the arm or into a previously-used site.

Uses: For the treatment of opioid dependence as part of a complete treatment plan to include counseling and psychosocial support. There is no maximum recommended duration for maintenance therapy as indefinite treatment may be required; when the decision is made to discontinue, doses should be tapered.",Avoid using any opioid pain medicine without approval from your doctor. Opioid pain medicine will not work as well while you are using Probuphine. Talk with your doctor about other options for pain relief.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with buprenorphine, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
progesterone,"Progesterone should not be used to prevent heart disease or dementia, because this medicine may actually increase your risk of developing these conditions.",Some forms of this medication may contain peanut oil. Do not use this medicine without telling your doctor if you have a peanut allergy.,"Store at room temperature away from moisture, heat, and light.",Progesterone may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"There may be other drugs that can interact with progesterone. Tell your doctor about all medications you use. This includes prescription, over-the-counter, vitamin, and herbal products. Do not start a new medication without telling your doctor."
prolia,Prolia is also used to treat glucocorticoid-induced osteoporosis in men and women at high risk of bone fracture.,"If you need to have any dental work (especially surgery), tell the dentist ahead of time that you are using Prolia. You may need to stop using the medicine for a short time.","Do not share this medicine with another person, even if they have the same symptoms you have.","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with denosumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
promethazine,"Promethazine is not for use in treating symptoms of asthma, pneumonia, or other lower respiratory tract infections.","Promethazine can cause side effects that may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be awake and alert. Avoid drinking alcohol, which can increase some of the side effects of promethazine. There are many other medicines that can interact with promethazine. Tell your doctor about all the prescription and over-the-counter medications you use. This includes vitamins, minerals, herbal products, and drugs prescribed by other doctors. Do not start using a new medication without telling your doctor. Keep a list with you of all the medicines you use and show this list to any doctor or other healthcare provider who treats you.","Store at room temperature away from moisture, heat, and light.",Avoid exposure to sunlight or tanning beds. Promethazine can make you sunburn more easily. Wear protective clothing and use sunscreen (SPF 30 or higher) when you are outdoors.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and there are many other medicines that can interact with promethazine. Tell your doctor about all your prescription and over-the-counter medications, vitamins, minerals, herbal products, and drugs prescribed by other doctors. Do not start a new medication without telling your doctor. Keep a list with you of all the medicines you use and show this list to any doctor or other healthcare provider who treats you."
propofol,Propofol is also used to sedate a patient who is under critical care and needs a mechanical ventilator (breathing machine).,"The FDA cautions recommends against using propofol if you are allergic to eggs, egg products, soybeans, or soy products.","Your breathing, blood pressure, oxygen levels, kidney function, and other vital signs will be watched closely while you are under the effects of propofol.","Propofol causes severe drowsiness and dizziness, which may last for several hours. You will need someone to drive you home after your surgery or procedure. Do not drive yourself or do anything that requires you to be awake and alert for at least 24 hours after you have been treated with propofol.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with this medicine, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
propranolol,Propranolol may also be used for purposes not listed in this medication guide.,Babies who weigh less than 4.5 pounds should not be given Hemangeol oral liquid.,Store at room temperature away from moisture and heat. Do not allow liquid medicine to freeze. Throw away any unused Hemangeol 2 months after you first opened the bottle.,"Avoid getting up too fast from a sitting or lying position, or you may feel dizzy. Get up slowly and steady yourself to prevent a fall.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with propranolol, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
